,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH600482,0.3954849880158597,1.0,-0.05001551,0.44550049714443024,0.44550049714443024,SH600482,中国动力,2026-03-17,7.0475907,7.0073476
1,1,SH600188,0.2681768576409079,1.0,0.036637783,0.23153907459037076,0.23153907459037076,SH600188,兖矿能源,2026-03-17,34.491863,36.32703
2,2,SH603993,0.2391754365189791,1.0,-0.08027971,0.31945514442760947,0.31945514442760947,SH603993,洛阳钼业,2026-03-17,2.8401022,2.766027
3,3,SZ300394,0.2252575142982487,1.0,0.015461683,0.20979583102493327,0.20979583102493327,,,2026-03-17,31.414614,32.792076
4,4,SH600029,0.2120311269386293,1.0,-0.046287358,0.2583184847457887,0.2583184847457887,SH600029,南方航空,2026-03-17,1.1729426,1.1490824
5,5,SZ002001,0.2113948553025387,1.0,-0.021678925,0.23307377986308558,0.23307377986308558,,,2026-03-17,122.56219,125.707924
6,6,SZ002493,0.2002481022379748,1.0,-0.09719157,0.29743967442730584,0.29743967442730584,,,2026-03-17,0.77889436,0.7752097
7,7,SH600522,0.1801846277107733,1.0,-0.026313543,0.20649817103047544,0.20649817103047544,SH600522,中天科技,2026-03-17,14.696262,14.635556
8,8,SH600875,0.1741808199299744,1.0,-0.041541338,0.21572215789689334,0.21572215789689334,SH600875,东方电气,2026-03-17,7.9799814,7.8732343
9,9,SH601838,0.1741000774496235,1.0,-0.012195051,0.18629512816602364,0.18629512816602364,SH601838,成都银行,2026-03-17,0.34416142,0.34529328
10,10,SH600900,0.1683870782447629,1.0,-0.0011597276,0.16954680581815768,0.16954680581815768,SH600900,长江电力,2026-03-17,10.271844,10.342108
11,11,SH600023,0.1672068726659338,1.0,0.0,0.1672068726659338,0.1672068726659338,SH600023,浙能电力,2026-03-17,0.27696615,0.28102428
12,12,SH601111,0.163270397863911,1.0,-0.040490806,0.2037612039666637,0.2037612039666637,SH601111,中国国航,2026-03-17,1.1899239,1.1721253
13,13,SH600010,0.1593178252452597,1.0,-0.051082253,0.21040007870137542,0.21040007870137542,SH600010,包钢股份,2026-03-17,4.7373047,4.666695
14,14,SZ002028,0.1516761134961835,1.0,-0.038839698,0.1905158113340131,0.1905158113340131,,,2026-03-17,145.74243,144.99208
15,15,SH601169,0.1450396353977975,1.0,-0.007380128,0.1524197633045968,0.1524197633045968,SH601169,北京银行,2026-03-17,0.2595911,0.26047873
16,16,SH600346,0.1412968866881274,1.0,-0.070758104,0.21205499101246822,0.21205499101246822,SH600346,恒力石化,2026-03-17,8.332615,8.277754
17,17,SH600690,0.1407270698369351,1.0,-0.015630186,0.15635725544103055,0.15635725544103055,SH600690,海尔智家,2026-03-17,23.440514,23.422066
18,18,SH600585,0.140608832535057,1.0,-0.030946076,0.17155490845134727,0.17155490845134727,SH600585,海螺水泥,2026-03-17,22.241823,22.134657
19,19,SH601939,0.1400036870103043,1.0,0.011723876,0.12827981101085362,0.12827981101085362,SH601939,建设银行,2026-03-17,0.7878988,0.80039644
20,20,SH603195,0.1347100038758267,1.0,-0.012066126,0.1467761297455777,0.1467761297455777,SH603195,公牛集团,2026-03-17,0.06876543,0.06871437
21,21,SH601668,0.1333136910941452,1.0,-0.0058285,0.13914219088815155,0.13914219088815155,SH601668,中国建筑,2026-03-17,0.6685119,0.6699683
22,22,SH601229,0.1299032892632564,1.0,-0.0007997751,0.13070306438685259,0.13070306438685259,SH601229,上海银行,2026-03-17,0.21528958,0.2168874
23,23,SH601006,0.1292377645509893,1.0,0.0036022663,0.12563549823934378,0.12563549823934378,SH601006,大秦铁路,2026-03-17,1.2043189,1.2152865
24,24,SH600660,0.1284819420445609,1.0,-0.022165418,0.1506473597157645,0.1506473597157645,SH600660,福耀玻璃,2026-03-17,205.64857,203.72525
25,25,SH600919,0.128466435101309,1.0,-0.0038356185,0.13230205359725017,0.13230205359725017,SH600919,江苏银行,2026-03-17,0.37439105,0.37735134
26,26,SH601877,0.1253851510590759,0.5,-0.034851015,0.16023616567318114,0.16023616567318114,SH601877,正泰电器,2026-03-17,0.17151798,0.17115255
27,27,SH600176,0.1230760161101638,1.0,-0.045971036,0.16904705206750023,0.16904705206750023,SH600176,中国巨石,2026-03-17,227.56668,226.64148
